months_practicing,identity,years_practicing
240.0,Kitchen Table Polyamory,20.0
168.0,Polyamory,14.0
126.0,Relationship Anarchy,10.5
360.0,Kitchen Table Polyamory,30.0
170.0,Relationship Anarchy,14.166666666666666
93.0,Solo Polyamory,7.75
144.0,Polyamory,12.0
114.0,Relationship Anarchy,9.5
10.0,Ethical / Consensual Non-monogamy,0.8333333333333334
99.0,Polyamory,8.25
144.0,Non-hierarchical Polyamory,12.0
240.0,Polyamory,20.0
60.0,Fetish/BDSM non-monogamy,5.0
32.0,Polyamory,2.6666666666666665
168.0,Non-hierarchical Polyamory,14.0
156.0,Polyamory,13.0
26.0,Solo Polyamory,2.1666666666666665
480.0,Lifestyle/Swinger,40.0
78.0,Polyfidelity,6.5
110.0,Kitchen Table Polyamory,9.166666666666666
44.0,Polyamory,3.6666666666666665
216.0,Ethical / Consensual Non-monogamy,18.0
120.0,Polyamory,10.0
98.0,Solo Polyamory,8.166666666666666
240.0,Solo Polyamory,20.0
29.0,Hierarchical Polyamory,2.4166666666666665
261.0,Other CNM Type,21.75
47.0,Polyamory,3.9166666666666665
216.0,Polyamory,18.0
156.0,Non-hierarchical Polyamory,13.0
240.0,Ethical / Consensual Non-monogamy,20.0
128.0,Non-hierarchical Polyamory,10.666666666666666
72.0,Ethical / Consensual Non-monogamy,6.0
480.0,Relationship Anarchy,40.0
73.0,Ethical / Consensual Non-monogamy,6.083333333333333
156.0,Non-hierarchical Polyamory,13.0
60.0,Relationship Anarchy,5.0
60.0,Ethical / Consensual Non-monogamy,5.0
27.0,Polyamory,2.25
60.0,Other CNM Type,5.0
113.0,Kitchen Table Polyamory,9.416666666666666
144.0,Relationship Anarchy,12.0
84.0,Ethical / Consensual Non-monogamy,7.0
132.0,Monogamish,11.0
89.0,Kitchen Table Polyamory,7.416666666666667
18.0,Monogamish,1.5
107.0,Ethical / Consensual Non-monogamy,8.916666666666666
84.0,Ethical / Consensual Non-monogamy,7.0
72.0,Polyamory,6.0
60.0,Solo Polyamory,5.0
36.0,Other CNM Type,3.0
120.0,Monogamish,10.0
144.0,Ethical / Consensual Non-monogamy,12.0
54.0,Solo Polyamory,4.5
19.0,Open Relationship,1.5833333333333333
18.0,Kitchen Table Polyamory,1.5
84.0,Monogamish,7.0
120.0,Relationship Anarchy,10.0
25.0,Hierarchical Polyamory,2.0833333333333335
26.0,Solo Polyamory,2.1666666666666665
180.0,Non-hierarchical Polyamory,15.0
84.0,Ethical / Consensual Non-monogamy,7.0
69.0,Ethical / Consensual Non-monogamy,5.75
180.0,Polyamory,15.0
48.0,Hierarchical Polyamory,4.0
123.0,Non-hierarchical Polyamory,10.25
36.0,Polyamory,3.0
78.0,Kitchen Table Polyamory,6.5
42.0,Garden Party Polyamory,3.5
18.0,Hierarchical Polyamory,1.5
107.0,Monogamish,8.916666666666666
436.0,Polyamory,36.333333333333336
127.0,Ethical / Consensual Non-monogamy,10.583333333333334
46.0,Lifestyle/Swinger,3.8333333333333335
168.0,Relationship Anarchy,14.0
120.0,Solo Polyamory,10.0
55.0,Solo Polyamory,4.583333333333333
96.0,Open Relationship,8.0
60.0,Ethical / Consensual Non-monogamy,5.0
86.0,Relationship Anarchy,7.166666666666667
81.0,Relationship Anarchy,6.75
180.0,Polyamory,15.0
17.0,Solo Polyamory,1.4166666666666667
25.0,Polyamory,2.0833333333333335
165.0,Ethical / Consensual Non-monogamy,13.75
41.0,Polyamory,3.4166666666666665
144.0,Garden Party Polyamory,12.0
180.0,Relationship Anarchy,15.0
9.0,Ethical / Consensual Non-monogamy,0.75
62.0,Ethical / Consensual Non-monogamy,5.166666666666667
10.0,Solo Polyamory,0.8333333333333334
4.0,Hierarchical Polyamory,0.3333333333333333
264.0,Polyamory,22.0
264.0,Non-hierarchical Polyamory,22.0
85.0,Relationship Anarchy,7.083333333333333
252.0,Solo Polyamory,21.0
42.0,Polyfidelity,3.5
150.0,Solo Polyamory,12.5
56.0,Ethical / Consensual Non-monogamy,4.666666666666667
180.0,Hierarchical Polyamory,15.0
39.0,Polyamory,3.25
21.0,Solo Polyamory,1.75
90.0,Polyamory,7.5
27.0,Kitchen Table Polyamory,2.25
101.0,Polyamory,8.416666666666666
72.0,Polyamory,6.0
79.0,Non-hierarchical Polyamory,6.583333333333333
81.0,Open Relationship,6.75
78.0,Polyamory,6.5
25.0,Relationship Anarchy,2.0833333333333335
52.0,Polyamory,4.333333333333333
18.0,Hierarchical Polyamory,1.5
97.0,Kitchen Table Polyamory,8.083333333333334
36.0,Other CNM Type,3.0
72.0,Ethical / Consensual Non-monogamy,6.0
96.0,Polyamory,8.0
249.0,Fetish/BDSM non-monogamy,20.75
384.0,Lifestyle/Swinger,32.0
91.0,Kitchen Table Polyamory,7.583333333333333
480.0,Solo Polyamory,40.0
24.0,Solo Polyamory,2.0
76.0,Relationship Anarchy,6.333333333333333
78.0,Open Relationship,6.5
72.0,Polyamory,6.0
96.0,Ethical / Consensual Non-monogamy,8.0
76.0,Non-hierarchical Polyamory,6.333333333333333
47.0,Kitchen Table Polyamory,3.9166666666666665
144.0,Solo Polyamory,12.0
60.0,Lifestyle/Swinger,5.0
96.0,Ethical / Consensual Non-monogamy,8.0
23.0,Kitchen Table Polyamory,1.9166666666666667
120.0,Non-hierarchical Polyamory,10.0
70.0,Ethical / Consensual Non-monogamy,5.833333333333333
103.0,Relationship Anarchy,8.583333333333334
105.0,Solo Polyamory,8.75
74.0,Garden Party Polyamory,6.166666666666667
53.0,Other CNM Type,4.416666666666667
36.0,Polyamory,3.0
76.0,Open Relationship,6.333333333333333
